"","Company Name","State","Company Code","Electric Utility Plant (dollars)","Electric Operating Revenues (dollars)","Electric Customers","Energy Purchased (Kilowatt/hour)"
"3856","Texas Power Corporation","Texas","42-161","2638314","207195","1",NA
"3857","Texas Public Service Company","Texas","42-167","183486","45720","845","2901300"
"3858","Texas Public Utilities","Texas","42-173","3299523",NA,NA,"3100500"
"3859","Wells Light & Power Co.","Texas","42-186","14500","8800","190",NA
"3860","West Texas Utilities Company","Texas","42-190","33297630","5056964","52273","8714688"
"3861","Chapman Power and Light Com","Texas","42-230",NA,NA,NA,NA
"3862","Fret-port Sulphur Company","Texas","42-241",NA,NA,NA,NA
"3863","Humble Oil & Refining Company","Texas","42-252",NA,NA,NA,NA
"3864","Imperial Sugar Company","Texas","42-263",NA,NA,NA,NA
"3865","Kirby Lumber Company","Texas","42-285",NA,NA,NA,NA
"3866","Mustang Island Industries, Inc.","Texas","42-293","84284","12797","184",NA
"3867","Southern Pine Lumber Co.","Texas","42-307",NA,"12900","57",NA
"3868","Texas Gulf Sulphur Co., Inc.","Texas","42-329","181767","9390","1",NA
"3869","M. A. Wade","Texas","42-351","50000",NA,"10",NA
"3870","C. Zedler & Sons","Texas","42-362",NA,NA,"1",NA
"3871","'Agricultural and Mechanical","Texas","42-505",NA,NA,"179",NA
"3872","*Austin Water, Light, and","Texas","42-510",NA,"1565125","20735","17686600"
"3873","'City of Baird, Electric Light &","Texas","42-513",NA,"2545","287",NA
"3874","*BartIett Municipal Light","Texas","42-516","1e+05","21967","414",NA
"3875","*Bowie Municipal Light Plant","Texas","42-522","18030","8374","107",NA
"3876","*Brady Water and Light Works","Texas","42-528","285000","83000","1840",NA
"3877","*Brazos River Conservation and","Texas","42-531",NA,NA,NA,NA
"3878","*Brownfield Power and Light","Texas","42-534","249517","79410","1800",NA
"3879","*Brownsville Water and Light","Texas","42-541","811571","270848","3209",NA
"3880","""The City of Bryan Municipality","Texas","42-547","500723","208863","3342",NA
"3881","*Hardin Municipal Light Plant","Texas","42-549","125000","41170","017",NA
"3882","*City of Caldwell","Texas","42-553",NA,"19817","403",NA
"3883","'City of Canadian Light & Power","Texas","42-559","214303","42639","580",NA
"3884","*City of Coleman","Texas","42-565","299003","734","1517",NA
"3885","*City of Commerce","Texas","42-572","110000","35000","900",NA
"3886","*Cooper Light and Power Plant","Texas","42-575",NA,NA,NA,NA
"3887","*City of Crosbyton","Texas","42-576",NA,NA,NA,NA
"3888","De-unison Project","Texas","42-577",NA,NA,NA,NA
"3889","*Denton Municipal Water & Light","Texas","42-578","610868",NA,"3750",NA
"3890","*City of Electra","Texas","42-580","237837","68522","800",NA
"3891","*Farmersville Municipal Light","Texas","42-584","105000","28300","431",NA
"3892","""City of Floydada","Texas","42-588","162000","29380","577",NA
"3893","""•Garland Municipal Utilities","Texas","42-596",NA,"28100","683",NA
"3894","*Georgetown Water & Light","Texas","42-603","179000","55063","1230",NA
"3895","*Granbury Municipal Utilities","Texas","42-609","81644",NA,"319",NA
"3896","'Greenville Municipal Utilities","Texas","42-615","644087","226730","4844",NA
"3897","*HallettsvilIe Municipal","Texas","42-621",NA,"28456","621",NA
"3898","*Hearne Municipal Plant","Texas","42-634","221438","48463","925",NA
"3899","""Lexington Municipal Plant","Texas","42-638",NA,NA,NA,NA
"3900","*City of Liberty Light & Power","Texas","42-639","120000","26500","482",NA
"3901","*City of Livingston","Texas","42-640",NA,NA,NA,NA
"3902","""City of Lockhart","Texas","42-642","138408","57176","1235","2351894"
"3903","*Lower Colorado River","Texas","42-644",NA,"1394000","10017","1331594"
"3904","*City of Lubbock","Texas","42-646","1413074","429260","5478",NA
"3905","•""City of Luling Utilities Division","Texas","42-649","145087","35723","705","1332700"
"3906","*Mansfield Light & Water","Texas","42-652",NA,"8892","242",NA
"3907","*Red Bluff Water Power Control","Texas","42-660","454330","34243","369","697671"
"3908","""City of Robstown","Texas","42-663","378909","62726","864",NA
"3909","*San Augustine Light and","Texas","42-665","166676","32901","466",NA
"3910","*Sanger Light and Water Works","Texas","42-671","97993","18000",NA,NA
"3911","*City of Seguin-Light Depart","Texas","42-677","340000","90791","1780","621000"
"3912","'Seymour Municipal Light Plant","Texas","42-683","194000","48344","1300",NA
"3913","'Shiner Light and Water","Texas","42-695","109558",NA,NA,NA
"3914","""City of Smithville","Texas","42-698","102605","38458","765","1438700"
"3915","*Spur Municipal Light & Power","Texas","42-702","140626","30042","488",NA
"3916","*Teague Light Department","Texas","42-708","175000","31806",NA,NA
"3917","*City of Terrell","Texas","42-714","22158","78836","1200",NA
"3918","""Timpson Light and Water","Texas","42-720","1e+05","19200","350",NA
"3919","*City of Tulia Municipal Plant","Texas","42-726",NA,"38811","700",NA
"3920","*Vernon Municipal Light","Texas","42-733","4e+05","100617","1581",NA
"3921","*City of Weimar","Texas","42-735","51000","23800","419","670000"
"3922","*City of Weatherford Municipal","Texas","42-737","250000","16329","1000",NA
"3923","*Whilesboro Light and","Texas","42-739","60000","14500","425",NA
"3924","*Yoakum Municipal Utilities","Texas","42-745","262488","81440","1482",NA
"3925","*Bailey County Electric Cooper","Texas","42-802","162678","16612","400","147429"
"3926","*Bandera Electric Cooperative,","Texas","42-803","132311","12832","412","6500"
"3927","*Bartlett Electric Cooperative,","Texas","42-805","141970","3081","420",NA
"3928","*Belfalls Electric Cooperative,","Texas","42-807","452000","39636","1164","035210"
"3929","*Bowie-Cass Electric Coopera","Texas","42-810","337662","39222","1157","570180"
"3930","'""Cap Rock Electric Cooperative,","Texas","42-815",NA,NA,NA,NA
"3931","*Cherokee County Electric","Texas","42-820","305996","14299","729","222226"
"3932","*Coleman County Electric","Texas","42-825","428119","36992","1093","494330"
"3933","*Comanche County Electric","Texas","42-827","287657","26297","779","194207"
"3934","*Cooke County Electric Co","Texas","42-829","204297",NA,NA,"319240"
"3935","Deal' Smith County Electric","Texas","42-833","393897","102888","709","4809600"
"3936","""Deep East Texas Electric","Texas","42-834","437477","62460","1368","577840"
"3937","*Denton County Electric","Texas","42-835","454565","47209","1222","963370"
"3938","*DeWitt County Electric Co","Texas","42-838","226000","24886","669","112504"
"3939","*Erath County Electric","Texas","42-845","233280","19817","611","249098"
"3940","Fannin County Electric","Texas","42-851","316848","30957","1113","426820"
"3941","*Farmers' Electric","Texas","42-852","605108",NA,"1939","813325"
"3942","*Fayette Electric Cooperative,","Texas","42-853","238108","16835","558","219440"
"3943","*FIoyd County Rural Electric","Texas","42-855","240492","30128",NA,"1085100"
"3944","*Fort Belknap Electric","Texas","42-857","99189","5339","290",NA
"3945","*Gate City Electric Cooperative,","Texas","42-859","218000",NA,NA,NA
"3946","*Grayson-Collin Electric","Texas","42-863","402940","43245","1389","553390"
"3947","*GreenbeIt Electric","Texas","42-864","19099","16049",NA,"134300"
"3948","*Guadalupe Valley Electric Co","Texas","42-865","213840","1497","425","103139"
"3949","*Hall County Electric Coopera","Texas","42-866",NA,"10616","400","74940"
"3950","•Hamilton County Electric Co","Texas","42-867","269430","28348","811","383940"
"3951","""Hill County Electric Cooperative,","Texas","42-868","556207","47884","1369","820931"
"3952","County Electric","Texas","42-870",NA,NA,NA,NA
"3953","*Hunt-Collin Electric Cooper","Texas","42-873","201292","21904","678","408300"
"3954","*J. A. C. Electric Cooperative As","Texas","42-880","123593","12720","338","13190"
"3955","'Jackson Electric Co-operative,","Texas","42-882","135324","13542","443","84500"
"3956","Johnson County Electric Coop","Texas","42-885","263646","31017","23","481440"
"3957","*Karnes Electric Cooperative, Inc.","Texas","42-888","183712","13474","483","82718"
"3958","^Kaufman County Electric","Texas","42-892","270724","24982","902","294570"
"3959","*Lamar County Electric Co","Texas","42-895","336662","25148","1021","242790"
"3960","*Lamb County Electric","Texas","42-897","278679","30147","872","403386"
"3961","•""Limestone County Electric","Texas","42-900","396124","41325","1166","707200"
"3962","*Lone Wolf Electric","Texas","42-902","123776","8956","306","40400"
"3963","""•Lower Colorado River Electric","Texas","42-903","1283651",NA,"1374","63675"
"3964","*Lyntegar Electric Cooperative,","Texas","42-904","430783","44321","1602","897716"
"3965","*McCulloch County Electric Co","Texas","42-906","248379","25082","575","408200"
"3966","*McLennan County Electric Co","Texas","42-907",NA,NA,"902",NA
"3967","*Magic Valley Electric Coopera","Texas","42-909",NA,"70000","189","1364617"
"3968","*Medina Electric Cooperative,","Texas","42-912","128283","10579","28","94800"
"3969","*Midwest Electric Cooperative,","Texas","42-914","2187","225","618","169920"
"3970","*Navarro County Electric","Texas","42-917",NA,NA,NA,"637590"
"3971","*Nueces Electric Cooperative, Inc.","Texas","42-921","225830","20972","521","301940"
"3972","*Panola-Harrison Electric Co","Texas","42-926","18724","27340","664","464340"
"3973","*Pedernales Electric Cooperative,","Texas","42-929","1807114","46246","2220","428668"
"3974","*Rusk County Electric Coopera","Texas","42-942","216211","26912",NA,"1788000"
"3975","*Sam Houston Electric Cooper","Texas","42-944","190534","4853","430",NA
"3976","*San Bernard Electric Coopera","Texas","42-946",NA,NA,NA,NA
"3977","*San Patricio Electric Coopera","Texas","42-948","241205","23780","643","301940"
"3978","*South Plains Electric Coopera","Texas","42-950","458718","5883","1437","953800"
"3979","""'Stamford Electric Cooperative,","Texas","42-953","168898","14478","373","114300"
"3980","*Swisher County Electric","Texas","42-956",NA,NA,NA,NA
"3981","'Taylor Electric Cooperative, Inc.","Texas","42-959",NA,NA,NA,NA
"3982","*Tri-County Electric Cooperative,","Texas","42-962","231310","22400","720","201120"
"3983","*l psliur Rural Electric Coopera","Texas","42-969","381927","07819","1676","969220"
"3984","*Victoria County Electric","Texas","42-972","176649","19790","472","377900"
"3985","*Wharton County Electric","Texas","42-976","162000","17825","443","251200"
"3986","*Wise Electric Cooperative, Inc.","Texas","42-979","179919","8799","312","65200"
"3987","Big Springs Power Co.","Utah","43-011","126863","23064","611",NA
"3988","Escalante Light & Power Co.","Utah","43-037",NA,"2054","120",NA
"3989","Goshen Electric Company","Utah","43-046",NA,NA,NA,NA
"3990","Graham Power Company","Utah","43-049",NA,NA,NA,NA
"3991","North Logan Telephone &","Utah","43-064","8899","2422","80","61275"
"3992","Palmyra & Lakeshore Electric","Utah","43-082",NA,"979","154","121820"
"3993","Peoples Light and Power","Utah","43-091","03123","12702","543",NA
"3994","Southern Utah Power Company","Utah","43-100","1769250","291605","3932","1131"
"3995","Swan Creek Electric Co.","Utah","43-109","41500","16000","400",NA
"3996","Telluride Power Company","Utah","43-118","1922970","300563","6284","3485543"
"3997","Uintah Power & Light Company","Utah","43-127","392606","70242","914",NA
"3998","Utah Light and Traction","Utah","43-136","19884094",NA,NA,NA
"3999","Utah Power & Light Company","Utah","43-145","84554839","12561923",NA,"8719947"
"4000","Western States Utilities Company","Utah","43-154",NA,NA,"135",NA
"4001","Columbia Steel Company","Utah","43-200",NA,"3023",NA,NA
"4002","Independent Coal & Coke","Utah","43-210",NA,NA,NA,NA
"4003","Spring Canyon Coal Company","Utah","43-225",NA,NA,NA,NA
"4004","Union Pacific Railroad Company","Utah","43-230",NA,NA,NA,NA
"4005","Union Portland Cement Company","Utah","43-231",NA,NA,NA,NA
"4006","United States Fuel Company","Utah","43-234",NA,NA,NA,NA
"4007","Utah Fuel Company","Utah","43-235",NA,NA,NA,NA
"4008","""Heaver City Corporation","Utah","43-515","81904","22420","550",NA
"4009","*Blanding Light and Power","Utah","43-522",NA,NA,NA,NA
"4010","""Bountiful City Electric Dept.","Utah","43-529",NA,"47309",NA,NA
"4011","*Brigham City Corporation","Utah","43-536",NA,NA,NA,NA
"4012","*Ephraim Electric Light &","Utah","43-543","88800","10900","67",NA
"4013","*Fairview Municipal Electric","Utah","43-550","82278","0011","313",NA
"4014","*FilImore City Corporation","Utah","43-557",NA,"25377","60","710000"
"4015","*Heber Light & Power Plant","Utah","43-564",NA,"60321","1214","9690"
"4016","*Helper Electrical Light","Utah","43-571",NA,"50030","871","1828564"
"4017","""Holden Town Corporation","Utah","43-578",NA,NA,"117","45634"
"4018","*Hyrum Electric Light Plant","Utah","43-585",NA,NA,"600",NA
"4019","*Kanosh Town Corporation","Utah","43-592","12683","4374","152",NA
"4020","""Kaysville Electric Department","Utah","43-599",NA,NA,NA,NA
"4021","*The Lehi Electric Light & Power","Utah","43-606","131400","29476","675",NA
"4022","*Levan Electric System","Utah","43-613",NA,NA,NA,NA
"4023","*Logan City Municipal Electric","Utah","43-620","1140706","218892","4198",NA
"4024","*Manti City Light and Power","Utah","43-627","115000","20708","654",NA
"4025","*Mantua Electric Light","Utah","43-634",NA,NA,NA,NA
"4026","*Meadow Electric System","Utah","43-641",NA,"2730","105","54030"
"4027","*Morgan City Corporation","Utah","43-652","105000","18000","33","312900"
"4028","*Monroe Power and Light","Utah","43-655","110000","11058",NA,NA
"4029","""Town of Monticello","Utah","43-658",NA,"8052","115",NA
"4030","•Mouuf Pleasant Electric","Utah","43-662","125000","25000","700",NA
"4031","*Murray Power Plant","Utah","43-669","451933","90424","2328",NA
"4032","*Nephi City Corporation","Utah","43-676",NA,"30900",NA,"107800"
"4033","*Oak City Electrical Department","Utah","43-683",NA,"1930","75","28914"
"4034","*Paragonah Municipal Lighting","Utah","43-690","13000","2433","113",NA
"4035","*Parowan City Corporation","Utah","43-697",NA,"12627",NA,NA
"4036","*Pay son City Corporation","Utah","43-704","69371","36054","894","1512600"
"4037","*Town of Perry","Utah","43-711",NA,NA,"82","808900"
"4038","*Price Light Department","Utah","43-718","160000","97","1390","374804"
"4039","""'Provo Department of Utilities","Utah","43-721","891940","199318","4858","619380"
"4040","*Salem Light and Power System","Utah","43-725",NA,NA,NA,NA
"4041","'Spanish Fork Electric System","Utah","43-732",NA,"38942","1007","1741800"
"4042","*Spring City Electric Light","Utah","43-739",NA,NA,NA,NA
"4043","*Springville Municipal Corp.","Utah","43-746","81453","48661","1300","343800"
"4044","*Strawberry Water Users","Utah","43-750","184733","75543","265","719200"
"4045","""Town of Wales","Utah","43-753",NA,NA,NA,NA
"4046","*Garkane Power Association,","Utah","43-862","185791","9099","688",NA
"4047","Allied Power and Light","Vermont","44-010","103501","33301","3","748000"
"4048","Bellows Falls Hydro-Electric","Vermont","44-014","13133277","1442452","4","18512470"
"4049","Central Vermont Public","Vermont","44-022","1460448","2363177","25904","56937946"
"4050","Citizens Utilities Company","Vermont","44-024",NA,"335671","658",NA
"4051","Community Light & Power","Vermont","44-026","85000","28058","863","088040"
"4052","Connecticut River Power","Vermont","44-031",NA,"821452","10",NA
"4053","Franklin Electric Light Company,","Vermont","44-035",NA,NA,NA,NA
"4054","Gilman Electric Light & Power","Vermont","44-039","12152","8955","1","168229"
"4055","Granville Electric Company","Vermont","44-043","211381","30869","187","1260982"
"4056","Green Mountain Power","Vermont","44-047","15715398","2223595","24875","32612768"
"4057","International Electric Company","Vermont","44-053",NA,"13760","330","451190"
"4058","Iroquois Ligbt and Power Com","Vermont","44-056",NA,NA,NA,NA
"4059","Lawrence E. Johnson","Vermont","44-060",NA,NA,NA,NA
"4060","Lake Electric Corporation","Vermont","44-064","23098","5470","170",NA
"4061","New England Power Company","Vermont","44-073",NA,"262859",NA,NA
"4062","Norton Electric Light Plant","Vermont","44-083",NA,NA,NA,NA
"4063","Olcott Falls Company","Vermont","44-085","601698","118553","2",NA
"4064","Plymouth Electric Light Company","Vermont","44-089",NA,NA,NA,NA
"4065","Public Electric Light Company","Vermont","44-094","4226191","512726","5211","1382555"
"4066","Public Service Company of","Vermont","44-098",NA,"53959","36",NA
"4067","Rochester Electric Light &","Vermont","44-106","12035","10853","204","231800"
"4068","States & Canada Utilities, Inc.","Vermont","44-127","55922","8297","169","125060"
"4069","The Twin State Gas &","Vermont","44-136",NA,"986067","11995",NA
"4070","Waits River Electric System","Vermont","44-148",NA,NA,NA,NA
"4071","Waterville Light & Power Corp.","Vermont","44-152",NA,NA,NA,NA
"4072","Wes-Lon Light and Power","Vermont","44-157","4953","78068","1674","1666620"
"4073","West River Power Co.","Vermont","44-161","25000",NA,"200","187500"
"4074","Weybridge Light and Power","Vermont","44-165",NA,NA,NA,NA
"4075","Woodstock Electric Company","Vermont","44-169",NA,"92627","997","1444300"
"4076","Mrs. Jeanette Zipfel","Vermont","44-173",NA,NA,NA,NA
"4077","Blair Veneer Co.","Vermont","44-225","95480","21589","425",NA
"4078","Gilman Paper Company","Vermont","44-262",NA,"5047","1",NA
"4079","Vermont Marble Company","Vermont","44-304","1387812","168984","628",NA
"4080","Vermont Soapstone Co.","Vermont","44-325","20000","3693","3",NA
"4081","*Barton Village, Inc.","Vermont","44-520","308972","50195","796","299300"
"4082","*City of Burlington Electric Light","Vermont","44-536","825425","347777","5284","11199960"
"4083","""Village of Enosburg Falls","Vermont","44-551","239312","33987","576",NA
"4084","*Village of Hardwick","Vermont","44-567","4723","64014","1629","641700"
"4085","""Village of Hyde Park","Vermont","44-582",NA,NA,NA,NA
"4086","Tillage of Jacksonville","Vermont","44-597",NA,"6564","169","87573"
"4087","""Village of Johnson","Vermont","44-613","43614","143","310","90810"
"4088","""Ludlow Electric Light","Vermont","44-628","75000","55081","900","2000000"
"4089","*LyndonvilIe Electric Plant","Vermont","44-644","356433","73233","1157","154270"
"4090","*VUIage of Morrisville","Vermont","44-659","635483","88847","1020","955480"
"4091","""Northfield Electric Light","Vermont","44-675","87100","40857","831","1081200"
"4092","""Village of Orleans","Vermont","44-690","77724","7563","536","1230626"
"4093","""Village of Readsboro","Vermont","44-706",NA,NA,NA,NA
"4094","""Incorporated Village of Stowe","Vermont","44-721","37081","21018","377","644400"
"4095","*Swanton Village","Vermont","44-737","433147","80805","958","592222"
"4096","*Village of West Burke","Vermont","44-752",NA,NA,NA,NA
"4097","*Shre\vsbury Light and Power","Vermont","44-885",NA,NA,NA,NA
"4098","""Vermont Electric Cooperative,","Vermont","44-895","196","14503","109","193298"
"4099","Appalachian Electric Power","Virginia","45-011",NA,"7620455","74465",NA
"4100","Mrs. Eva Bishop","Virginia","45-013",NA,NA,NA,NA
"4101","Braddock Light & Power","Virginia","45-015","291130",NA,"18","14516462"
"4102","East Tennessee Light & Power","Virginia","45-036",NA,NA,"3502",NA
"4103","Eastern Shore Public Service","Virginia","45-040",NA,NA,"524",NA
"4104","Holston River Power Co.","Virginia","45-059",NA,NA,"210","14208"
"4105","Hydro-Electric Corporation of","Virginia","45-061",NA,NA,NA,NA
"4106","Linville Creek Light and Power","Virginia","45-065",NA,NA,"84","91400"
"4107","Madison Power Company","Virginia","45-082","304839",NA,"43","31782"
"4108","Massanutten Power Corporation","Virginia","45-086",NA,"46285","705","370"
"4109","Monterey Utilities Corporation","Virginia","45-090","100155","15761","283","21018"
"4110","Mutual Light Company","Virginia","45-095",NA,NA,NA,NA
"4111","Northern Virginia Power","Virginia","45-111","4728135","749042","7501","28566737"
"4112","Old Dominion Power Company","Virginia","45-116","4064933","842802","6769","18403930"
"4113","Page Power Company","Virginia","45-120","1649535",NA,"2631","5728588"
"4114","Roanoke River Power Company","Virginia","45-132","1617930","10833",NA,NA
"4115","Stockton Electric, Ice & Power","Virginia","45-134",NA,NA,NA,NA
"4116","Virginia Electric and Power","Virginia","45-152","08007540","14809800",NA,"14743"
"4117","Valley Electric Company","Virginia","45-153","108929","35110","491","415707"
"4118","Virginia East Coast Utilities,","Virginia","45-157",NA,NA,"7193","10297600"
"4119","Virginia Public Service","Virginia","45-160",NA,"8887640","117161","1262388"
"4120","Woodstock Electric Light &","Virginia","45-173",NA,NA,"700",NA
"4121","Alberine Stone Corporation of","Virginia","45-210",NA,NA,NA,NA
"4122","Albermarle Paper Company","Virginia","45-215",NA,NA,NA,NA
"4123","American Hardware Company","Virginia","45-223",NA,NA,NA,NA
"4124","American Tobacco Company","Virginia","45-226",NA,NA,NA,NA
"4125","Bassetts Furniture Company","Virginia","45-230",NA,NA,NA,NA
"4126","Cranberry Manufacturing Co.","Virginia","45-235","126378","23557","636",NA
"4127","Electro Metallurgical Company","Virginia","45-242",NA,NA,NA,NA
"4128","F. G. Hitt","Virginia","45-248",NA,NA,NA,NA
"4129","Jewell Ridge Coal Corporation","Virginia","45-254","14481",NA,NA,NA
"4130","The Lane Company","Virginia","45-259",NA,NA,NA,NA
"4131","Larus & Brother Company, Inc","Virginia","45-262","80",NA,NA,NA
"4132","Parksley Coal & Supply Co.","Virginia","45-267",NA,"31330","677",NA
"4133","Penn-Dixie Cement Company","Virginia","45-268",NA,NA,NA,NA
"4134","W. M. Ritter Lumber Co.","Virginia","45-272",NA,"1799","186",NA
"4135","Riverside & Dan River Cotton","Virginia","45-273","821690","24329",NA,NA
"4136","Sylvania Industrial Corporation","Virginia","45-276",NA,NA,NA,NA
"4137","Virginia Smelting Works","Virginia","45-303",NA,NA,NA,NA
"4138","Washington Mills Co.","Virginia","45-314",NA,"2518",NA,NA
"4139","""Town of Bedford","Virginia","45-515","535000","123450","1484","2213390"
"4140","*Blackstone Light and Power","Virginia","45-526","251727","46797","642",NA
"4141","*CuIpeper Light & Power","Virginia","45-537","165000","0002","753",NA
"4142","*Danville Water, Gas, & Electric","Virginia","45-548","4539987","682342","11514",NA
"4143","""Town of Elkton","Virginia","45-550","40000","13100","260","415337"
"4144","""Franklin Electric Light and","Virginia","45-559","122727","74590","1063","2529000"
"4145","*Town of Front Royal","Virginia","45-570","95832","71650",NA,"2990741"
"4146","*Harrisonburg Municipal","Virginia","45-581","885133","275169",NA,NA
"4147","""Town of Iron Gate","Virginia","45-592","15000","4942","160","117660"
"4148","*Manassas Light Department","Virginia","45-603","38200","21039","442","503500"
"4149","*City of Martinsville Electric","Virginia","45-614","454319","216140","2438","3667000"
"4150","*City of Radford","Virginia","45-625","587358","118675","1647",NA
"4151","""Town of Richlands","Virginia","45-636","50931",NA,"7","984320"
"4152","""Richmond Department of","Virginia","45-647","2150000",NA,NA,"4244700"
"4153","""Town of Salem","Virginia","45-658","121471",NA,"1887","3350000"
"4154","""Tangier Municipal Lighting","Virginia","45-669",NA,NA,NA,NA
"4155","""Virginia Polytechnic Institute","Virginia","45-682","390000",NA,NA,NA
"4156","""Town of Wakefield","Virginia","45-691",NA,"9551","177","293006"
"4157","*B. A. B. C. Electric Cooperative","Virginia","45-808","3516","34624","1038","531220"
"4158","""Central Virginia Electric Coop","Virginia","45-812","5457","68363","1676","1373650"
"4159","'Community Electric Cooperative","Virginia","45-814","198479","3697","490",NA
"4160","""Craig-Botetourt Electric Cooper","Virginia","45-815","406913","29","928","447060"
"4161","•Mecklenburg Electric Coopera","Virginia","45-845","519663","58216","1463","904900"
"4162","*Northern Neck Electric","Virginia","45-850","256731","32526","72","538800"
"4163","'The Northern Piedmont Electric","Virginia","45-853","237000","17048","502","234400"
"4164","*Powell Valley Electric Coopera","Virginia","45-860",NA,"12674","484","134100"
"4165","*Prince George Electric Coopera","Virginia","45-865","142434","3074","263",NA
"4166","'Prince Williams Electric","Virginia","45-870",NA,NA,NA,NA
"4167","*Shenandoah Valley Electric","Virginia","45-880","1223612","97102","2716",NA
"4168","*Southside Electric Cooperative","Virginia","45-885","1043136","95040",NA,"1558720"
"4169","*Tri-County Electric Cooperative","Virginia","45-888","153927","2628","182",NA
"4170",NA,"Washington",NA,NA,"53806","1228",NA
"4171","Clallam Bay Light & Power","Washington","46-019","45000","4000","80",NA
"4172","Friday Harbor Light & Power Co.","Washington","46-034","70409","21000","378",NA
"4173","Grant County Power Co.","Washington","46-040",NA,"17966","207","603400"
"4174","Great Northern Power Co.","Washington","46-045",NA,NA,NA,NA
"4175","Inland Power & Light Company","Washington","46-055","10083485","939","4","8059540"
"4176","Interstate Power & Light Co.","Washington","46-058",NA,NA,NA,NA
"4177","McCleary Utilities Company","Washington","46-070","6328","14835","370",NA
"4178","H. C. Masterson","Washington","46-073","3780","359",NA,NA
"4179","Metaline Falls Light & Water","Washington","46-076",NA,"13808","181","1193010"
"4180","Modern Electric Water Co.","Washington","46-079","50000","41028","800","5874000"
"4181","Molson Light Company","Washington","46-082",NA,NA,NA,NA
"4182","Mountain States Power","Washington","46-085",NA,"40389","781",NA
"4183","Northport Power & Light Co.","Washington","46-091","154650","7494","172","273740"
"4184","Northwestern Electric Company","Washington","46-094",NA,"1314959","12776",NA
"4185","Olympic Public Service Company","Washington","46-103","114891","20510","301",NA
"4186","Pacific Power & Light Company","Washington","46-106","35059552","5544854",NA,"160284123"
"4187","Packwood Electric Company","Washington","46-109",NA,NA,NA,NA
"4188","Parkland Light & Water Co.","Washington","46-112","29308","7617","450","1260000"
"4189","Portland General Electric","Washington","46-118",NA,"251289","3841",NA
"4190","Puget Sound Power & Light","Washington","46-124","125341855","14328795","200549","42922332"
"4191","Republic Power Co.","Washington","46-130","102576","09894","324","4370100"
"4192","Soap Lake Utilities Co.","Washington","46-136","40000","16122","250","813327"
"4193","Straits Light & Power Company","Washington","46-142","1074","2374","80","51369"
"4194","Three Engineers Co., Inc.'","Washington","46-145",NA,NA,NA,NA
"4195","Community Served at Retail: Population","Washington","46-587",NA,NA,NA,NA
"4196","Trout Lake Power & Light Co.","Washington","46-146",NA,"2067","58",NA
"4197","Tucannon Electric Co.","Washington","46-147","10000","3985","88",NA
"4198","Upper Columbia Valley Power Co.","Washington","46-151","12630","819","19",NA
"4199","Upper Methow Valley Light &","Washington","46-154",NA,NA,NA,NA
"4200","The following data are for the year 1940:","Washington","46-885",NA,NA,NA,NA
"4201","Valley Power & Light Co.","Washington","46-155","4921","8289","165","173070"
"4202","Washington Gas and Electric","Washington","46-160","215117","783071","6477","1949210"
"4203","The Washington Water Power","Washington","46-163","68527025","10294239",NA,"8151947"
"4204","West Coast Power Company","Washington","46-169",NA,"118401","5011",NA
"4205","Anderson and Middleton","Washington","46-212",NA,NA,NA,NA
"4206","Bloedel Donovan Lumber Mills","Washington","46-225",NA,NA,NA,NA
"4207","Carlisle Lumber Co.","Washington","46-227",NA,NA,"213",NA
"4208","E. I. du Pont de Nemours & Co.","Washington","46-234",NA,"3228","134",NA
"4209","Inland Portland Cement Company","Washington","46-245",NA,NA,NA,NA
"4210","Joint Power Operation","Washington","46-248",NA,"57996","2",NA
"4211","McCleary Timber Company","Washington","46-256",NA,NA,NA,NA
"4212","Merrill and Ring Lumber","Washington","46-260",NA,NA,NA,NA
"4213","J. Neils Lumber Company","Washington","46-266",NA,NA,NA,NA
"4214","Northwestern Improvement Co.","Washington","46-270","127582","87072","1714",NA
"4215","Pope & Talbot, Inc., Lumber","Washington","46-287","111954","2380",NA,NA
"4216","Seattle Cedar Lumber Manufac","Washington","46-300",NA,NA,NA,NA
"4217","Snoqualmie Falls Lumber","Washington","46-322",NA,NA,NA,NA
"4218","Superior Portland Cement, Inc.","Washington","46-344",NA,NA,NA,NA
"4219","Western Crossarm and Manufac","Washington","46-366",NA,NA,NA,NA
"4220","The Westport Lumber Company","Washington","46-377",NA,NA,NA,NA
"4221","Weyerhaeuser Timber Company","Washington","46-388",NA,NA,NA,NA
"4222","Willapa Harbor Lumber Mills","Washington","46-399",NA,"8189","1",NA
"4223","*Blaine Municipal Light Plant","Washington","46-512","59113","211","95","7372"
"4224","*U. S. Department of Interior,","Washington","46-515",NA,NA,NA,NA
"4225","""Cashmere Water & Light","Washington","46-523","121314","63183","850","3744200"
"4226","•Centralia Hydro-Electric","Washington","46-534","1543143","167713","3919","7000"
"4227","'""Cheney Light Department","Washington","46-545","89470","69687","582","3691800"
"4228","*City of Chewelah","Washington","46-556","50000","25460","883","870200"
"4229","*Eatonville Light and Power","Washington","46-567",NA,NA,NA,NA
"4230","•City of Ellensburg Light","Washington","46-578","722264","153235","1903","2102300"
"4231","""Town of Fircrest","Washington","46-585","18000","4520","177",NA
"4232","*City of Grand Coulee","Washington","46-587",NA,NA,NA,NA
"4233","prior to Mar. 31, lull.","Washington","46-143",NA,NA,NA,NA
